radio;mnc;lon;lat;created
3G;Claro;-79.898497;-2.168528;1366864585
3G;Claro;-79.886648;-2.18397;1366864585
3G;Claro;-79.889145;-2.182571;1366655326
3G;Claro;-79.889144897461;-2.1828460693359;1366655250
3G;Claro;-79.889144897461;-2.1828460693359;1366655255
3G;Claro;-79.893224;-2.191414;1366864590
3G;Claro;-79.887085;-2.173138;1366864590
3G;Claro;-79.887238;-2.179489;1366864590
3G;Claro;-79.883018;-2.177881;1366864590
3G;Claro;-79.880846;-2.163698;1366864591
3G;Claro;-79.880709;-2.174214;1366864591
3G;Claro;-79.866444;-2.164296;1366864591
3G;Claro;-79.812115;-2.188541;1366864591
3G;Claro;-79.881515;-2.166468;1366864591
3G;Claro;-79.877884;-2.152771;1366864591
3G;Claro;-79.875275;-2.113255;1366864591
3G;Claro;-79.872208;-2.146683;1366864591
3G;Claro;-79.87678527832;-2.1471405029297;1366655924
3G;Claro;-79.87678527832;-2.1471405029297;1366655926
3G;Claro;-79.877485;-2.146804;1366864591
3G;Claro;-79.883267;-2.140659;1366864596
3G;Claro;-79.883423;-2.138901;1366864596
3G;Claro;-79.889286;-2.129065;1366864596
3G;Claro;-79.901223;-2.138243;1366864596
3G;Claro;-79.887965;-2.132406;1366864596
3G;Claro;-79.892349;-2.14325;1366864596
3G;Claro;-79.894638061523;-2.1443939208984;1366656400
3G;Claro;-79.894638061523;-2.1443939208984;1366656405
3G;Claro;-79.89405;-2.146258;1366864596
3G;Claro;-79.896126;-2.143364;1366864596
3G;Claro;-79.896819;-2.141324;1366864596
3G;Claro;-79.897777;-2.144216;1366864596
3G;Claro;-79.899973;-2.136418;1366864596
3G;Claro;-79.903163;-2.135869;1366864596
3G;Claro;-79.903502;-2.133158;1366864596
3G;Claro;-79.906575;-2.132668;1366864596
3G;Claro;-79.909058;-2.131941;1366864596
3G;Claro;-79.906188;-2.127245;1366864596
3G;Claro;-79.904119;-2.120305;1366864596
3G;Claro;-79.906686;-2.120021;1366864596
3G;Claro;-79.900131;-2.133865;1366864601
3G;Claro;-79.680004;-2.322808;1366864601
3G;Claro;-78.532955;-0.271147;1367374259
3G;Claro;-78.53873;-0.257281;1367374387
3G;Claro;-78.487639;-0.197816;1367501130
3G;Claro;-78.488515;-0.202737;1367501228
3G;Claro;-78.45433;-0.195694;1367522102
3G;Claro;-78.451309;-0.195007;1367522102
3G;Claro;-78.438126;-0.210526;1367522102
2G;Claro;-78.461707;-0.192163;1367502362
2G;Claro;-80.883751;-2.244301;1370870837
2G;Claro;-80.911813;-2.235826;1370870901
2G;Claro;-80.887527;-2.208939;1370871039
2G;Claro;-79.750442504883;-1.5607452392578;1371490800
2G;Claro;-79.750442504883;-1.5607452392578;1371491104
2G;Claro;-79.771576;-1.557541;1371679356
2G;Claro;-79.940012;-2.074905;1371907796
2G;Claro;-79.939466;-2.079065;1371907804
2G;Claro;-78.571387;-0.474106;1371907804
2G;Claro;-78.580076;-0.444803;1371907810
2G;Claro;-78.581512;-0.54746;1371907816
2G;Claro;-78.595504760742;-0.46073913574219;1371888013
2G;Claro;-78.48619;-0.370651;1371907816
2G;Claro;-78.459412;-0.349091;1371888212
2G;Claro;-79.903564;-2.241898;1373429903
2G;Claro;-79.857411;-2.156865;1373512843
2G;Claro;-79.851671;-2.163183;1373512843
2G;Claro;-79.860535;-2.173233;1373512843
2G;Claro;-79.845085;-2.167132;1373512843
2G;Claro;-79.848324;-2.17279;1373512843
3G;Claro;-80.726989;-0.948847;1373576824
3G;Claro;-80.726395;-0.948715;1373580963
3G;Claro;-80.731415;-0.954814;1373580969
3G;Claro;-80.767814;-0.957539;1373580989
2G;Claro;-80.779497;-0.961413;1373581004
3G;Claro;-80.804635;-0.958673;1373591584
3G;Claro;-80.758423;-0.959043;1373591774
2G;Claro;-80.723648;-0.93956;1373739759
3G;Claro;-80.726189;-0.940917;1373739765
3G;Claro;-80.724106;-0.939194;1373739765
2G;Claro;-80.723007;-0.940567;1373739765
3G;Claro;-80.714554;-0.946487;1373739765
2G;Claro;-80.723763;-0.942764;1373739776
3G;Claro;-80.726434;-0.945839;1373739781
2G;Claro;-80.809319;-0.974968;1373739786
2G;Claro;-80.80924987793;-0.96885681152344;1373651789
2G;Claro;-80.719528;-0.945053;1373739786
2G;Claro;-80.648712;-0.958558;1373821187
3G;Claro;-79.524399;-1.803268;1373833535
3G;Claro;-80.743217;-0.955353;1373911892
3G;Claro;-80.742416;-0.939102;1373913681
3G;Claro;-80.731271;-0.949452;1373916101
2G;Claro;-80.720673;-0.947571;1373917000
3G;Claro;-80.678953;-0.95357;1374009326
3G;Claro;-79.810452;-2.174814;1374512517
2G;Claro;-80.730972;-0.947412;1375387613
2G;Claro;-78.692818;-0.443706;1376096125
2G;Claro;-78.739197;-0.446735;1376096727
2G;Claro;-78.646167;-0.50123;1376097166
2G;Claro;-78.774507;-0.436674;1376097742
